[PtcServer Acquisition File]
PtcServerVersion=1.0.0.49
[PTC Status]
ID=Potenciostat [kolibrik.net] 1.4C_20161122 (PTC1, PTC-gamma-rC)
Serial=Kl-Ptc-150238
Setpoint=0
Range=15A
Feedback=Vout
OutputEnabled=0
Switches=35264
AutoCalib=3
AutoRange=0
Vout=0.000146073
Vsense=0.0001361543
Vref=-0.001683696
I=0.00571004
[ACQ CV]
Timestamp=2017-01-18 20:44:45.543
StepReduction=1
AvgOnReduction=1
ChannelMask=15
VChannel=1
Start=0
Margin1=-0.05
Margin2=0.05
End=0
Speed=50
Step=0.001
Sweeps=102
WaitFirst=10
WaitStep=2
WaitSweep=1
RelayAfterOff=1
ChannelCount=4
Channel1=Vout
Channel1Src=Tag3/Channel0
Channel2=Vsense
Channel2Src=Tag3/Channel1
Channel3=Vref
Channel3Src=Tag3/Channel2
Channel4=I
Channel4Src=Tag3/Channel3
[DataHeader]
Number	Vout	Vsense	Vref	I
[Data]
122	-0.1184779	-0.00561677	-0.001789711	-1.144757
123	-0.1194756	-0.00577791	-0.001774351	-1.154611
124	-0.1204366	-0.00579715	-0.001780148	-1.164306
125	-0.1214323	-0.00580358	-0.001807069	-1.17397
126	-0.1224647	-0.00585289	-0.00178827	-1.184153
127	-0.1235182	-0.00590549	-0.001765148	-1.193715
128	-0.124454	-0.00590533	-0.001684286	-1.203422
129	-0.1254876	-0.00599473	-0.001777069	-1.21307
130	-0.1264836	-0.00603219	-0.001822659	-1.222831
131	-0.1275338	-0.00605347	-0.001792953	-1.232407
132	-0.1284162	-0.00617895	-0.001763314	-1.242045
133	-0.1293812	-0.0061753	-0.001847942	-1.251832
134	-0.130419	-0.00621933	-0.001802091	-1.26133
135	-0.1314355	-0.00628355	-0.001803499	-1.271277
136	-0.1324409	-0.00631054	-0.001792429	-1.281205
137	-0.1333971	-0.00636248	-0.001813849	-1.291094
138	-0.1344185	-0.00649575	-0.001827735	-1.300724
139	-0.1354839	-0.00650087	-0.001903423	-1.311288
140	-0.1365024	-0.00656223	-0.001824853	-1.320587
141	-0.1374282	-0.0066317	-0.001772812	-1.330448
142	-0.1384025	-0.00662556	-0.00180553	-1.340103
143	-0.13945	-0.006704	-0.001784078	-1.349675
144	-0.1404477	-0.006765	-0.001755126	-1.359622
145	-0.1414882	-0.00675479	-0.001839951	-1.369411
146	-0.1424585	-0.0067978	-0.00179125	-1.379239
147	-0.1434163	-0.00689813	-0.001781654	-1.388927
148	-0.1444461	-0.00689373	-0.001777626	-1.398668
149	-0.1454732	-0.00696426	-0.001770093	-1.408463
150	-0.146382	-0.00704716	-0.00182279	-1.4183
151	-0.1473678	-0.00705448	-0.001726273	-1.427437
152	-0.1484035	-0.00716578	-0.001776643	-1.437614
153	-0.1493944	-0.00719224	-0.001722277	-1.44735
154	-0.1504217	-0.00719405	-0.001767473	-1.457114
155	-0.151407	-0.00726516	-0.001764558	-1.466954
156	-0.1524783	-0.00733221	-0.001728139	-1.47682
157	-0.1534541	-0.00744876	-0.00180232	-1.486511
158	-0.1544494	-0.00746304	-0.001774253	-1.496078
159	-0.1554292	-0.007542	-0.001829307	-1.506038
160	-0.1564383	-0.00754112	-0.001753914	-1.515783
161	-0.1574175	-0.00757011	-0.00178696	-1.525681
162	-0.1584778	-0.00765797	-0.001728729	-1.535529
163	-0.1594527	-0.00770449	-0.001825967	-1.545332
164	-0.1604511	-0.00780574	-0.001793216	-1.555295
165	-0.1614017	-0.00779136	-0.001822855	-1.564735
166	-0.1624644	-0.00782176	-0.001786895	-1.574503
167	-0.1635169	-0.00787919	-0.001763838	-1.584389
168	-0.1645381	-0.00783125	-0.001707703	-1.59426
169	-0.1654448	-0.0079157	-0.001741633	-1.603993
170	-0.1664512	-0.0079938	-0.001736196	-1.613425
171	-0.1673929	-0.00803186	-0.001732659	-1.623155
172	-0.1684498	-0.00813232	-0.001755257	-1.632969
173	-0.1694103	-0.00818216	-0.001694013	-1.642753
174	-0.1704754	-0.00822556	-0.00166922	-1.652629
175	-0.1714451	-0.00820327	-0.001769962	-1.662492
176	-0.1724407	-0.00830548	-0.001657332	-1.672287
177	-0.173407	-0.00834599	-0.00168219	-1.682045
178	-0.1744364	-0.00840351	-0.001683794	-1.69179
179	-0.1754333	-0.00848835	-0.001715366	-1.701961
180	-0.1765067	-0.00849118	-0.001724176	-1.711747
181	-0.1775118	-0.00853583	-0.001715989	-1.721462
182	-0.1785045	-0.00861886	-0.001787451	-1.731354
183	-0.1795187	-0.00864821	-0.001724766	-1.740983
184	-0.180523	-0.00868219	-0.001741338	-1.750545
185	-0.1814317	-0.00874388	-0.001775104	-1.760154
186	-0.1823768	-0.00873834	-0.001717495	-1.769854
187	-0.1834407	-0.00887245	-0.001691425	-1.779562
188	-0.1844227	-0.00894432	-0.001680585	-1.789127
189	-0.1854243	-0.00899541	-0.001660541	-1.799365
190	-0.1864312	-0.00901895	-0.001685039	-1.808938
191	-0.1874626	-0.00907385	-0.001684253	-1.819123
192	-0.1884994	-0.00917746	-0.00171612	-1.828879
193	-0.1894186	-0.00924539	-0.00168612	-1.838436
194	-0.1904254	-0.00919746	-0.001709766	-1.848389
195	-0.1914342	-0.00926808	-0.001671546	-1.858435
196	-0.19244	-0.00933151	-0.001701414	-1.868142
197	-0.1933859	-0.00932199	-0.001707375	-1.87786
198	-0.1944485	-0.00939964	-0.001782997	-1.887706
199	-0.1954642	-0.00946881	-0.001766949	-1.897517
200	-0.1964678	-0.00947968	-0.001711993	-1.907448
201	-0.1975052	-0.00951698	-0.001742353	-1.917123
202	-0.1985114	-0.00952364	-0.001787812	-1.926815
203	-0.1994678	-0.00962907	-0.00178994	-1.936557
204	-0.2004698	-0.00972671	-0.001779984	-1.946268
205	-0.2014907	-0.00979792	-0.001788401	-1.956089
206	-0.2024472	-0.00986375	-0.001762495	-1.965964
207	-0.2035428	-0.00989051	-0.001807102	-1.975799
208	-0.2044771	-0.00994209	-0.001796458	-1.985408
209	-0.2054976	-0.00995791	-0.001739602	-1.995054
210	-0.2064736	-0.01000545	-0.001739275	-2.004676
211	-0.207442	-0.01006284	-0.001704984	-2.014364
212	-0.2084705	-0.01008973	-0.001683631	-2.024132
213	-0.2094631	-0.01013432	-0.001760104	-2.034004
214	-0.2104913	-0.01022963	-0.001736098	-2.043805
215	-0.2114546	-0.01021952	-0.001750901	-2.053387
216	-0.2124249	-0.01033735	-0.00176934	-2.063295
217	-0.2134546	-0.01042731	-0.001805825	-2.073
218	-0.2145277	-0.010419	-0.001745366	-2.083014
219	-0.215425	-0.0104698	-0.001725781	-2.092845
220	-0.2164192	-0.01055079	-0.001713238	-2.102534
221	-0.2174563	-0.01057075	-0.001707113	-2.112398
222	-0.2183699	-0.01057266	-0.001700989	-2.121768
223	-0.2193636	-0.01060605	-0.001684646	-2.13139
224	-0.2204288	-0.0106854	-0.001779133	-2.141276
225	-0.2214359	-0.01064797	-0.001707768	-2.15115
226	-0.2224853	-0.0107315	-0.001705443	-2.160979
227	-0.2233855	-0.01074306	-0.001745956	-2.170887
228	-0.2244741	-0.01083055	-0.001687659	-2.180282
229	-0.2254789	-0.01088141	-0.001722703	-2.190418
230	-0.226461	-0.0109478	-0.001708587	-2.200274
231	-0.2273766	-0.01104885	-0.001694111	-2.210086
232	-0.2284095	-0.01103782	-0.001703805	-2.219735
233	-0.2293945	-0.01116876	-0.001697648	-2.229591
234	-0.2304043	-0.01117128	-0.001752342	-2.23967
235	-0.2314689	-0.01124335	-0.001735639	-2.249589
236	-0.2324249	-0.01124657	-0.001693325	-2.259342
237	-0.2334239	-0.01133482	-0.001641513	-2.269117
238	-0.2344173	-0.01134375	-0.001763936	-2.278996
239	-0.2354726	-0.01139208	-0.001737473	-2.288803
240	-0.2364839	-0.01140682	-0.001707834	-2.298595
241	-0.23745	-0.01150535	-0.001732823	-2.308332
242	-0.2384371	-0.01152896	-0.001794133	-2.318095
243	-0.2395506	-0.01157055	-0.001701677	-2.327974
244	-0.2405059	-0.01164082	-0.00178732	-2.337785
245	-0.2414954	-0.01164354	-0.001788106	-2.347563
246	-0.2425444	-0.01171462	-0.001781065	-2.357237
247	-0.2434792	-0.01180153	-0.001729515	-2.367007
248	-0.2443802	-0.01182894	-0.001731676	-2.37665
249	-0.2454891	-0.01183833	-0.001769995	-2.386672
250	-0.2465082	-0.01187665	-0.001802779	-2.39626
251	-0.2474824	-0.0119233	-0.00171517	-2.406284
252	-0.2484728	-0.01201001	-0.001709733	-2.415771
253	-0.2494903	-0.01207833	-0.001774253	-2.425611
254	-0.250424	-0.01215562	-0.001759875	-2.435315
255	-0.2514659	-0.01215516	-0.001736524	-2.444927
256	-0.2524696	-0.01220835	-0.001677768	-2.454825
257	-0.2534615	-0.01229532	-0.001701414	-2.464547
258	-0.2544976	-0.0123863	-0.00171458	-2.474262
259	-0.2554815	-0.01242442	-0.001756895	-2.484189
260	-0.2565494	-0.01243932	-0.001681305	-2.493964
