[LinearBatch Acquisition File]
[Application]
AppVersion=FC Control v2017-beta build 28.3.2017 12:00:53 - 2926
[PTC Status]
ID=VIRTUAL PTC DummyPTC 2016-02-23
[FLOW]
[FCSControl]OutputEnabled=
#Mereni provedeno: 13.12.2017 5:06:46
#Teplota: NAN deg C; Teplota okoli: 0.0
#Invert Current: FALSEInvert Voltage: FALSE
#From 0 mA to -10000 mA by step 6
#Prodleva mezi nacitanim bodu: 299.820107935239
#Fuel used: TODO
#Oxigen medium: TODO
#Anode material: -unspecified-
#Cathode material: -unspecified-
#Membrane: -unspecified-
#MEApreparation: -unspecified-
#GDL material: -unspecified- -unspecified-
#Press for hot-pressing: TODO
#Comment: 
#Osa X [A]	Osa Y [V]	Vykon [A*V]
#Osa X 
#-------------------------------------------------------------------------------------------------------------------------------------------------------
Time from start [ms]	Temperature [°C]	Current [mA]	Voltage [V]	Power [mW]	Instability [mV]	Time
62814	NAN	-1050	643.487809878023	-675.662200371924	0	5:07:48
63141	NAN	-1056	642.71475088848	-678.706776938235	0	5:07:49
63266	NAN	-1062	641.942671483369	-681.743117115338	0	5:07:49
63471	NAN	-1062	641.942671483369	-681.743117115338	0	5:07:49
63781	NAN	-1068	641.171560635386	-684.771226758592	0	5:07:49
63797	NAN	-1068	641.171560635386	-684.771226758592	0	5:07:49
64138	NAN	-1074	640.401407502386	-687.791111657563	0	5:07:50
64285	NAN	-1080	639.632201423268	-690.80277753713	0	5:07:50
64469	NAN	-1080	639.632201423268	-690.80277753713	0	5:07:50
64797	NAN	-1092	638.096588663521	-696.801474820565	0	5:07:50
65125	NAN	-1098	637.330161530356	-699.788517360331	0	5:07:51
65298	NAN	-1104	636.564640538521	-702.767363154527	0	5:07:51
65453	NAN	-1104	636.564640538521	-702.767363154527	0	5:07:51
65777	NAN	-1110	635.800015874139	-705.738017620295	0	5:07:51
65808	NAN	-1116	635.036277881907	-708.700486116209	0	5:07:51
66105	NAN	-1116	635.036277881907	-708.700486116209	0	5:07:52
66324	NAN	-1122	634.273417061698	-711.654773943225	0	5:07:52
66433	NAN	-1122	634.273417061698	-711.654773943225	0	5:07:52
66763	NAN	-1128	633.511424065252	-714.600886345605	0	5:07:52
66881	NAN	-1134	632.75028969296	-717.538828511817	0	5:07:52
67089	NAN	-1134	632.75028969296	-717.538828511817	0	5:07:53
67369	NAN	-1140	631.990004890725	-720.468605575427	0	5:07:53
67417	NAN	-1140	631.990004890725	-720.468605575427	0	5:07:53
67745	NAN	-1146	631.230560746911	-723.39022261596	0	5:07:53
67885	NAN	-1158	629.714159482548	-729.208996680791	0	5:07:53
68073	NAN	-1158	629.714159482548	-729.208996680791	0	5:07:54
68386	NAN	-1164	628.957185224657	-732.106163601501	0	5:07:54
68432	NAN	-1164	628.957185224657	-732.106163601501	0	5:07:54
68760	NAN	-1170	628.201017344935	-734.995190293573	0	5:07:54
68898	NAN	-1176	627.44564760096	-737.876081578729	0	5:07:54
69086	NAN	-1176	627.44564760096	-737.876081578729	0	5:07:55
69400	NAN	-1182	626.691067876045	-740.748842229485	0	5:07:55
69414	NAN	-1182	626.691067876045	-740.748842229485	0	5:07:55
69742	NAN	-1188	625.937270176692	-743.61347696991	0	5:07:55
69912	NAN	-1194	625.184246630109	-746.46999047635	0	5:07:55
70068	NAN	-1194	625.184246630109	-746.46999047635	0	5:07:56
70411	NAN	-1200	624.431989481797	-749.318387378156	0	5:07:56
70743	NAN	-1206	623.680491093186	-752.158672258382	0	5:07:56
70926	NAN	-1218	622.179740606713	-757.814924058977	0	5:07:56
71067	NAN	-1218	622.179740606713	-757.814924058977	0	5:07:57
71397	NAN	-1224	621.430473790962	-760.630899920137	0	5:07:57
71427	NAN	-1230	620.681936294808	-763.438781642614	0	5:07:57
71725	NAN	-1230	620.681936294808	-763.438781642614	0	5:07:57
71940	NAN	-1236	619.934121025962	-766.238573588088	0	5:07:57
72049	NAN	-1236	619.934121025962	-766.238573588088	0	5:07:58
72378	NAN	-1242	619.187020995085	-769.030280075895	0	5:07:58
72440	NAN	-1248	618.440629313811	-771.813905383636	0	5:07:58
72722	NAN	-1248	618.440629313811	-771.813905383636	0	5:07:58
72954	NAN	-1254	617.694939192806	-774.589453747779	0	5:07:58
73048	NAN	-1254	617.694939192806	-774.589453747779	0	5:07:59
73394	NAN	-1260	616.949943939884	-777.356929364254	0	5:07:59
73457	NAN	-1266	616.205636958159	-780.116336389029	0	5:07:59
73718	NAN	-1266	616.205636958159	-780.116336389029	0	5:07:59
